Capital City,Date,Residential Property Price($)
Darwin,Sep-19,88.2
Darwin,Dec-19,87.5
Darwin,Mar-20,88.1
Darwin,Jun-20,86.9
Darwin,Sep-20,87.6
Darwin,Dec-20,89.5
Darwin,Mar-21,93.7
Darwin,Jun-21,98
Darwin,Sep-21,99.6
Darwin,Dec-21,101.1
Canberra,Dec-11,100.9
Canberra,Mar-12,100.8
Canberra,Jun-12,99.5
Canberra,Sep-12,99.5
Canberra,Dec-12,101.8
Canberra,Mar-13,100.3
Canberra,Jun-13,101
Canberra,Sep-13,101.1
Canberra,Dec-13,101.8
Canberra,Mar-14,102.3
Canberra,Jun-14,103.3
Canberra,Sep-14,103.5
Canberra,Dec-14,104.3
Canberra,Mar-15,105.4
Canberra,Jun-15,106.2
Canberra,Sep-15,107.6
Canberra,Dec-15,110.6
Canberra,Mar-16,110.2
Canberra,Jun-16,112.6
Canberra,Sep-16,113.5
Canberra,Dec-16,116.7
Canberra,Mar-17,120
Canberra,Jun-17,121.5
Canberra,Sep-17,121.3
Canberra,Dec-17,123.4
Canberra,Mar-18,124.5
Canberra,Jun-18,125.2
Canberra,Sep-18,125.8
Canberra,Dec-18,125.6
Canberra,Mar-19,124.5
Canberra,Jun-19,124.7
Canberra,Sep-19,124.1
Canberra,Dec-19,128
Canberra,Mar-20,128.2
Canberra,Jun-20,129.2
Canberra,Sep-20,130.3
Canberra,Dec-20,134.7
Canberra,Mar-21,142.2
Canberra,Jun-21,153.9
Canberra,Sep-21,163.1
Canberra,Dec-21,173.5
